Bioassay_ID	sentrix_id	dkfz_v12.8_superfamily	dkfz_v12.8_superfamily_maxscore	dkfz_v12.8_family	dkfz_v12.8_family_maxscore	dkfz_v12.8_class	dkfz_v12.8_class_maxscore	dkfz_v12.8_subclass	dkfz_v12.8_subclass_maxscore	NIH_v3.1_superfamily	NIH_v3.1_superfamily_meanscore	NIH_v3.1_class	NIH_v3.1_class_score	NIH_v3.1_subclass	NIH_v3.1_subclass_meanscore
BS_SNDPSMTW	206402350095_R02C01	Cranial And Paraspinal Nerve Tumours	0.977739775	Cranial And Paraspinal Nerve Tumours	0.867063488	Plexiform Neurofibroma	0.866663818	NFIB_PLEX	0.866663818	Mesenchymal tumors	0.988	Plexiform neurofibroma	0.979	NFIB PLEX	0.979
BS_NVK7271A	205657380093_R04C01	Ependymal Tumours	0.999999926	Supratentorial Ependymoma, YAP1-Fused	0.99999937	Supratentorial Ependymoma, YAP1-Fused	0.99999937	EPN_YAP	0.99999937	Ependymal tumors	0.989	Supratentorial ependymoma, YAP1 fusion-positive	0.986	EPN ST YAP	0.986
BS_N0ZY3NAM	205707890059_R08C01	Ependymal Tumours	0.987784764	Posterior Fossa Ependymoma Group A	0.985538735	Posterior Fossa Ependymoma Group A1	0.980395841	EPN_PFA_1B	0.337095248	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.817	EPN PFA 1A	0.39
BS_N3P7VDD7	206390560077_R07C01	Medulloblastoma	0.961778295	Medulloblastoma, WNT Activated	0.901653325	Medulloblastoma, WNT Activated	0.901653325	MB_WNT	0.901653325	Medulloblastoma	0.99	Medulloblastoma, WNT-activated	0.982	MB WNT	0.982
BS_B5Y1FDFX	205122170051_R02C01	Ependymal Tumours	0.99987421	Posterior Fossa Ependymoma Group A	0.999853597	Posterior Fossa Ependymoma Group A1	0.999668818	EPN_PFA_1A	0.970119933	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.987	EPN PFA 1A	0.986
BS_Q4ZSATCT	205676390152_R08C01	Ependymal Tumours	0.999998546	Supratentorial Ependymoma, ZFTA Fusion-Positive	0.999995972	Supratentorial Ependymoma, ZFTA:rela Fusion-Positive	0.999984036	EPN_ST_ZFTA_RELA_A	0.999983624	Ependymal tumors	0.989	Supratentorial ependymoma, ZFTA fusion-positive	0.988	EPN ST ZFTA RELA	0.988
BS_Q0PBV7W5	206390560108_R01C01	Control Tissues	0.999987664	Control Brain Tissues	0.999987664	Control Tissue, Cerebellar Hemisphere	0.999987664	CTRL_CBM	0.999987664	Control tissues	0.967	Control tissue, cerebellum	0.939	CONTR CEBM	0.939
BS_W9PWP17B	205707900146_R01C01	Ependymal Tumours	0.999870181	Posterior Fossa Ependymoma Group B \& Posterior Fossa Subependymoma	0.999471715	Posterior Fossa Ependymoma (Subependymoma-enriched)	0.999448519	EPN_PF_SE	0.999448519	Ependymal tumors	0.989	Subependymoma and ependymoma, posterior fossa	0.987	SE EPN PF	0.987
BS_846RA6HX	205676380026_R01C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999841197	Pilocytic Astrocytoma	0.999641844	Infratentorial Pilocytic Astrocytoma	0.999474108	PA_INF	0.999474108	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.989	PA PF TYP	0.988
BS_JM1J1NH8	205624900107_R03C01	Ependymal Tumours	0.99999766	Spinal Ependymoma (myxopapillary-enriched)	0.999996589	Spinal Ependymoma (myxopapillary-enriched)	0.999996589	EPN_MPE	0.999996589	Ependymal tumors	0.989	Myxopapillary ependymoma	0.988	EPN MPE A	0.988
BS_ZFCXH22E	205657380112_R04C01	Cranial And Paraspinal Nerve Tumours	0.842880517	Cranial And Paraspinal Nerve Tumours	0.709155982	Plexiform Neurofibroma	0.703364121	NFIB_PLEX	0.703364121	Mesenchymal tumors	0.983	Plexiform neurofibroma	0.894	NFIB PLEX	0.894
BS_9QS5KCPD	205624900172_R04C01	Paediatric-Type Diffuse High-Grade Gliomas	0.999999577	Infant-Type Hemispheric Glioma	0.999999558	Infant-Type Hemispheric Glioma	0.999999558	IHG	0.999999558	Pediatric-type high-grade gliomas	0.987	Infant-type hemispheric glioma	0.986	IHG TYP	0.986
BS_VXQV7GX2	205707900164_R06C01	Cranial And Paraspinal Nerve Tumours	0.999966998	Schwann-Cell Tumours	0.999162723	Schwannoma	0.999161177	SCHW	0.999161177	Mesenchymal tumors	0.988	Schwannoma	0.963	SCHW	0.963
BS_TSMY09VT	205624860029_R01C01	Paediatric-Type Diffuse High-Grade Gliomas	0.987260298	Paediatric-Type Diffuse High-Grade Gliomas	0.986846376	Diffuse Hemispheric Glioma, H3 G34-Mutant	0.978567124	DHG_G34	0.978567124	Pediatric-type high-grade gliomas	0.985	Diffuse hemispheric glioma, H3 G34-mutant	0.981	DHG G34	0.981
BS_K1JR4YRA	205676380130_R04C01	Adult-Type Diffuse Gliomas	0.999990271	Diffuse High-Grade Neuroepithelial Tumour [Adult-Type]	0.999990269	Diffuse High-Grade Neuroepithelial Tumour [Adult-Type, Non-Defined Type E]	0.999829185	HGG_E	0.999829185	Intermediate-grade IDH-wildtype gliomas	0.886	Diffuse high-grade glioma, IDH-wildtype, subtype E	0.881	HGG E	0.881
BS_B1EB1F4K	205707900009_R07C01	Medulloblastoma	0.574724051	Medulloblastoma, SHH-Activated	0.458431847	Medulloblastoma, SHH-Activated, Subtype 2	0.409070534	MB_SHH_2	0.409070534	Low-grade glial/glioneuronal tumors	0.985	Pilocytic astrocytoma	0.984	PA PF VAR	0.983
BS_CQMW2QGX	205707890153_R04C01	Ependymal Tumours	0.984954673	Posterior Fossa Ependymoma Group A	0.981177223	Posterior Fossa Ependymoma Group A1	0.972673387	EPN_PFA_1C	0.577553838	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.981	EPN PFA 1C	0.975
BS_S4489PHK	206402350026_R02C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.817817213	Diffuse Glioma, MYB- Or MYBl1-Altered	0.708026016	Diffuse Glioma, MYB(L1)-Altered, Subtype D	0.659354855	LGG_MYB_D	0.659354855	Low-grade glial/glioneuronal tumors	0.989	Diffuse astrocytoma, MYB- or MYBL1-altered	0.601	LGG MYB D	0.588
BS_R6ES0HY1	205624860029_R06C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999976175	Pilocytic Astrocytoma	0.999940134	Supratentorial Midline Pilocytic Astrocytoma	0.999556006	PA_MID	0.999556006	Low-grade glial/glioneuronal tumors	0.99	Pilocytic astrocytoma	0.988	PA MID	0.987
BS_CT2WHMPY	206390560183_R03C01	Tumours Of The Sellar Region	0.866444457	Craniopharyngioma	0.860747204	Adamantinomatous Craniopharyngioma	0.83502296	CPH_ADM	0.83502296	Epithelial tumors	0.981	Adamantinomatous craniopharyngioma	0.978	CPH ADM	0.978
BS_H213BADH	205707900078_R06C01	Ependymal Tumours	0.999994655	Posterior Fossa Ependymoma Group A	0.999992882	Posterior Fossa Ependymoma Group A1	0.999975314	EPN_PFA_1C	0.999627116	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.988	EPN PFA 1C	0.987
BS_M1KRD32T	205624900061_R04C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.388925467	Pilocytic Astrocytoma	0.343136868	Infratentorial Pilocytic Astrocytoma	0.337458773	PA_INF	0.337458773	Low-grade glial/glioneuronal tumors	0.987	Pilocytic astrocytoma	0.984	PA PF VAR	0.982
BS_TH4E3NA8	205624880007_R08C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.998414432	Pilocytic Astrocytoma	0.997613913	Infratentorial Pilocytic Astrocytoma	0.991281318	PA_INF	0.991281318	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.988	PA PF TYP	0.987
BS_6J8S9QXJ	205707900155_R08C01	Ependymal Tumours	0.999999897	Posterior Fossa Ependymoma Group A	0.999999853	Posterior Fossa Ependymoma Group A1	0.999998919	EPN_PFA_1E	0.999958901	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.988	EPN PFA 1E	0.987
BS_SZGPXK0G	206402350020_R04C01	Medulloblastoma	0.999998465	Medulloblastoma, WNT Activated	0.999993871	Medulloblastoma, WNT Activated	0.999993871	MB_WNT	0.999993871	Medulloblastoma	0.991	Medulloblastoma, WNT-activated	0.988	MB WNT	0.988
BS_2VF759DR	206390560067_R01C01	Other CNS Embryonal Tumours	0.913011461	CNS Embryonal Tumour With PLAG-Family Amplification	0.910362042	CNS Embryonal Tumour With PLAG-Family Amplification	0.910362042	ET_PLAG	0.910362042	Mesenchymal tumors	0.177	Poorly differentiated chordoma	0.12	CHORDM PD	0.12
BS_09NVP2YD	206402350009_R07C01	Control Tissues	0.985471198	Control Brain Tissues	0.985383753	Control Tissue, Hemispheric Cortex	0.985212017	CTRL_HEMI	0.985212017	Control tissues	0.665	Control tissue, cerebral hemisphere	0.654	CONTR HEMI	0.654
BS_67RKWKBQ	207356850179_R03C01	Paediatric-Type Diffuse High-Grade Gliomas	0.999994412	Diffuse Midline Glioma, H3k27-Altered	0.999994407	Diffuse Midline Glioma, H3 K27-Mutant / EZHIP Overexpressing	0.999994406	DMG_K27	0.999994406	Diffuse midline glioma, H3 K27-altered	0.985	Diffuse midline glioma, H3 K27-altered	0.985	DMG K27	0.985
BS_EP1E4EWQ	205707900155_R02C01	Ependymal Tumours	0.99996706	Posterior Fossa Ependymoma Group A	0.999942273	Posterior Fossa Ependymoma Group A1	0.999821126	EPN_PFA_1C	0.999610539	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.988	EPN PFA 1C	0.988
BS_19G7ZW45	207356850156_R08C01	Paediatric-Type Diffuse High-Grade Gliomas	0.999859833	Paediatric-Type Diffuse High-Grade Gliomas	0.999849396	Diffuse Paediatric-Type High Grade Glioma, RTK2 Subtype	0.999468399	pedHGG_RTK2A	0.999467604	Pediatric-type high-grade gliomas	0.987	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	0.986	pedHGG RTK2A	0.985
BS_4BYJ109R	205624900145_R01C01	Ependymal Tumours	0.999899556	Posterior Fossa Ependymoma Group A	0.999885172	Posterior Fossa Ependymoma Group A1	0.999787142	EPN_PFA_1E	0.954950715	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.987	EPN PFA 1E	0.985
BS_7Q2WKSSX	206390560130_R08C01	Paediatric-Type Diffuse High-Grade Gliomas	0.999784531	Paediatric-Type Diffuse High-Grade Gliomas	0.999780316	Diffuse Hemispheric Glioma, H3 G34-Mutant	0.999759695	DHG_G34	0.999759695	Pediatric-type high-grade gliomas	0.986	Diffuse hemispheric glioma, H3 G34-mutant	0.984	DHG G34	0.984
BS_MV728Q6J	205676380056_R08C01	Tumours Of The Sellar Region	0.998667904	PitNET	0.998649479	PitNET, TSH-Subtype	0.9799795	PITNET_TSH	0.9799795	Neuroendocrine tumors	0.985	Pituitary adenoma / pituitary neuroendocrine tumor	0.984	PITAD TSH	0.981
BS_G1M10SBX	205567990034_R03C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999486155	Low-Grade Ganglioglial/Neuroepithelial Tumour	0.998639689	Supratentorial Pilocytic Astrocytoma	0.998635262	PA_CORT	0.998635262	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.986	PA ST	0.984
BS_707NA9ET	205648310172_R03C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.99818250100000006	Pilocytic Astrocytoma	0.995887299	Infratentorial Pilocytic Astrocytoma	0.994088462	PA_INF	0.994088462	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.988	PA PF TYP	0.988
BS_CEFWNECZ	205122170033_R01C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999135452	Pilocytic Astrocytoma	0.998437009	Infratentorial Pilocytic Astrocytoma	0.995493113	PA_INF	0.995493113	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.988	PA PF TYP	0.988
BS_X6FKGF4B	206390560164_R02C01	Medulloblastoma	0.999999197	Medulloblastoma, WNT Activated	0.999996801	Medulloblastoma, WNT Activated	0.999996801	MB_WNT	0.999996801	Medulloblastoma	0.991	Medulloblastoma, WNT-activated	0.988	MB WNT	0.988
BS_EY14FYAA	206402350086_R03C01	Choroid Plexus Tumours	0.906747268	Choroid Plexus Tumours	0.906747268	Choroid Plexus Tumours Subtype B	0.90498992	CPT_PED_B	0.90417632	Choroid plexus tumors	0.984	Choroid plexus carcinoma	0.983	CPC PED	0.983
BS_1Y8941MS	205589730006_R05C01	Medulloblastoma	0.993724149	Medulloblastoma, SHH-Activated	0.991908889	Medulloblastoma, SHH-Activated, Subtype 2	0.501788199	MB_SHH_2	0.501788199	Medulloblastoma	0.991	Medulloblastoma, SHH-activated	0.874	MB SHH 4	0.509
BS_R4BCJEBB	205566000036_R05C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999899667	Pilocytic Astrocytoma	0.999662177	Infratentorial Pilocytic Astrocytoma	0.999629074	PA_INF	0.999629074	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.988	PA PF TYP	0.988
BS_0TJDWPJT	205624860108_R03C01	Medulloblastoma	0.604761669	Medulloblastoma, SHH-Activated	0.558254034	Medulloblastoma, SHH-Activated, Subtype 2	0.53883865	MB_SHH_2	0.53883865	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.988	PA PF VAR	0.988
BS_8P1KGX5M	205624870137_R07C01	Choroid Plexus Tumours	0.97486109	Choroid Plexus Tumours	0.97486109	Choroid Plexus Tumours Subtype B	0.973634896	CPT_PED_B	0.97249558	Choroid plexus tumors	0.987	Choroid plexus carcinoma	0.986	CPC PED	0.985
BS_M92PB4AV	205624870062_R01C01	Control Tissues	0.999886399	Control Brain Tissues	0.999886399	Control Tissue, Cerebellar Hemisphere	0.999886399	CTRL_CBM	0.999886399	Control tissues	0.959	Control tissue, cerebellum	0.938	CONTR CEBM	0.938
BS_F90NS0V0	206430120127_R07C01	Medulloblastoma	0.999999263	Medulloblastoma, WNT Activated	0.999997477	Medulloblastoma, WNT Activated	0.999997477	MB_WNT	0.999997477	Medulloblastoma	0.991	Medulloblastoma, WNT-activated	0.988	MB WNT	0.988
BS_71966GA8	205676380032_R01C01	Control Tissues	0.96730519	Control Tissue, Reactive Tumour Microenvironment	0.967299414	Control Tissue, Reactive Tumour Microenvironment	0.967299414	CTRL_REACTIVE	0.967299414	Control tissues	0.976	Control tissue, reactive tumor microenvironment	0.941	CONTR REACT	0.941
BS_QRWRZHRV	206390560134_R07C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999988958	Low-Grade Glioneuronal Tumour	0.999987723	Dysembryoplastic Neuroepithelial Tumour	0.998212017	DNET	0.998212017	Low-grade glial/glioneuronal tumors	0.99	Dysembryoplastic neuroepithelial tumor	0.988	DNT	0.988
BS_Y3Q4A90V	205676390142_R08C01	Cranial And Paraspinal Nerve Tumours	0.982265043	Schwann-Cell Tumours	0.500925907	Schwannoma	0.500495739	SCHW	0.500495739	Mesenchymal tumors	0.987	Plexiform neurofibroma	0.636	NFIB PLEX	0.636
BS_PWJFH0SG	206390560049_R05C01	Medulloblastoma	0.999428798	Medulloblastoma Non-WNT/Non-SHH Activated	0.999354727	Medulloblastoma Group 4	0.912669928	MB_G34_V	0.909185279	Medulloblastoma	0.991	Medulloblastoma, non-WNT/non-SHH, Group 4	0.97	MB G4 V	0.962
BS_ER1S1BYR	205676380019_R03C01	Paediatric-Type Diffuse High-Grade Gliomas	0.999939614	Diffuse Midline Glioma, H3k27-Altered	0.999939021	Diffuse Midline Glioma, H3 K27-Mutant / EZHIP Overexpressing	0.999938982	DMG_K27	0.999938982	Diffuse midline glioma, H3 K27-altered	0.987	Diffuse midline glioma, H3 K27-altered	0.987	DMG K27	0.986
BS_HJJPT3NR	206390560108_R08C01	Control Tissues	0.973818602	Control Brain Tissues	0.9738186	Control Tissue, Cerebellar Hemisphere	0.973818593	CTRL_CBM	0.973818593	Low-grade glial/glioneuronal tumors	0.713	Pilocytic astrocytoma	0.712	PA PF VAR	0.712
BS_ZA4EAXGT	205624900113_R01C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999942473	Low-Grade Glioneuronal Tumour	0.999935408	Dysembryoplastic Neuroepithelial Tumour	0.996904658	DNET	0.996904658	Low-grade glial/glioneuronal tumors	0.99	Dysembryoplastic neuroepithelial tumor	0.988	DNT	0.988
BS_V9YC31VQ	205707900011_R03C01	Control Tissues	0.549915754	Control Brain Tissues	0.547592739	Control Tissue, Optic Pathway	0.287249171	CTRL_OPTIC	0.287249171	Control tissues	0.979	Control tissue, optic pathway	0.923	CONTR OPTIC	0.923
BS_DETQZ74D	206430120117_R05C01	Adult-Type Diffuse Gliomas	0.999981286	Diffuse High-Grade Neuroepithelial Tumour [Adult-Type]	0.999945567	Glioneuronal tumor with ATRX alteration, kinase fusion and anaplastic features 	0.999945561	GTAKA	0.999945561	Intermediate-grade IDH-wildtype gliomas	0.918	Glioneuronal tumor with ATRX alteration, kinase fusion and anaplastic features	0.914	GTAKA	0.914
BS_PM2MVP4E	205707890156_R06C01	Ependymal Tumours	0.999575172	Posterior Fossa Ependymoma Group A	0.999453581	Posterior Fossa Ependymoma Group A1	0.999091462	EPN_PFA_1C	0.895229956	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.988	EPN PFA 1C	0.987
BS_VMTD1WJJ	205567990005_R02C01	Tumours Of The Sellar Region	0.993253085	Craniopharyngioma	0.992918274	Adamantinomatous Craniopharyngioma	0.992858244	CPH_ADM	0.992858244	Epithelial tumors	0.986	Adamantinomatous craniopharyngioma	0.984	CPH ADM	0.984
BS_8SPQ35BC	205624860068_R01C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999990182	Pilocytic Astrocytoma	0.999964295	Infratentorial Pilocytic Astrocytoma	0.999939319	PA_INF	0.999939319	Low-grade glial/glioneuronal tumors	0.99	Pilocytic astrocytoma	0.989	PA PF TYP	0.988
BS_FBRT0SFH	205589730030_R05C01	Medulloblastoma	0.999854213	Medulloblastoma Non-WNT/Non-SHH Activated	0.999836737	Medulloblastoma Group 4	0.99976854	MB_G34_VII	0.96132897	Medulloblastoma	0.991	Medulloblastoma, non-WNT/non-SHH, Group 4	0.989	MB G4 VII	0.989
BS_KWMS40SQ	205566000010_R08C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999794101	Pilocytic Astrocytoma	0.999688068	Infratentorial Pilocytic Astrocytoma	0.999231533	PA_INF	0.999231533	Low-grade glial/glioneuronal tumors	0.99	Pilocytic astrocytoma	0.989	PA PF TYP	0.988
BS_GN4KVTPQ	205707900146_R02C01	Ependymal Tumours	0.862717211	Posterior Fossa Ependymoma Group B \& Posterior Fossa Subependymoma	0.447606513	Posterior Fossa Ependymoma (Subependymoma-enriched)	0.403262242	EPN_PF_SE	0.403262242	Ependymal tumors	0.989	Posterior fossa ependymoma, ACVR1-altered	0.46	EPN PF ACVR1	0.46
BS_SPJCNAT7	206430120113_R03C01	Meningioma	0.99908292	Meningioma	0.99908292	Meningioma, Intermediate	0.991582943	MNG_INT_A	0.991389342	Meningioma	0.988	Meningioma, intermediate	0.986	MNG INT A	0.986
BS_58JZA64R	207356840021_R02C01	Other CNS Embryonal Tumours	0.995945191	Atypical Teratoid Rhabdoid Tumour	0.995530832	Atypical Teratoid Rhabdoid Tumour, SHH Activated	0.993045521	ATRT_SHH	0.993045521	SMARC-altered tumors	0.987	Atypical teratoid/rhabdoid tumor	0.987	ATRT SHH	0.986
BS_Y18G3521	206390560130_R02C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.884628318	Low-Grade Glioneuronal Tumour	0.794531924	Dysembryoplastic Neuroepithelial Tumour	0.639721789	DNET	0.639721789	Low-grade glial/glioneuronal tumors	0.989	Dysembryoplastic neuroepithelial tumor	0.508	DNT	0.508
BS_7NPV770K	205707910024_R04C01	Paediatric-Type Diffuse High-Grade Gliomas	0.996846394	Diffuse Midline Glioma, H3k27-Altered	0.996632488	Diffuse Midline Glioma, H3 K27-Mutant / EZHIP Overexpressing	0.996627062	DMG_K27	0.996627062	Diffuse midline glioma, H3 K27-altered	0.987	Diffuse midline glioma, H3 K27-altered	0.987	DMG K27	0.986
BS_J34K4N6D	205624860143_R04C01	Mesenchymal, Non-Meningothelial Tumours Involving The CNS	0.787585326	Tumours Of Uncertain Differentiation	0.783410854	Ewing Sarcoma	0.773236118	EWS	0.773236118	Neuroblastic embryonal tumors	0.983	Ewing sarcoma	0.98	EWS	0.98
BS_VGNRVJXF	205624860118_R05C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.272882772	Low-Grade Ganglioglial/Neuroepithelial Tumour	0.267600959	Desmoplastic Infantile Ganglioglioma/Astrocytoma	0.266711957	DIG_DIA	0.266711957	Low-grade glial/glioneuronal tumors	0.262	Pilocytic astrocytoma	0.167	PA ST	0.109
BS_HC77B45S	206430120117_R03C01	Medulloblastoma	0.99996689	Medulloblastoma Non-WNT/Non-SHH Activated	0.999963227	Medulloblastoma Group 4	0.999546813	MB_G34_V	0.992532052	Medulloblastoma	0.991	Medulloblastoma, non-WNT/non-SHH, Group 4	0.989	MB G4 V	0.988
BS_ZQC3BMQN	206390560086_R02C01	Tumours Of The Sellar Region	0.246827019	Craniopharyngioma	0.232314843	Papillary Craniopharyngioma	0.229069476	CPH_PAP	0.229069476	Mesenchymal tumors	0.607	Chordoma	0.083	CHORDM	0.083
BS_4RJKBMPY	206402350054_R06C01	Medulloblastoma	0.995735156	Medulloblastoma Non-WNT/Non-SHH Activated	0.995165156	Medulloblastoma Group 4	0.953112107	MB_G34_VII	0.890531189	Medulloblastoma	0.991	Medulloblastoma, non-WNT/non-SHH, Group 4	0.985	MB G4 VII	0.981
BS_0K0R2RHX	205657380102_R07C01	Medulloblastoma	0.999997141	Medulloblastoma, WNT Activated	0.99998952	Medulloblastoma, WNT Activated	0.99998952	MB_WNT	0.99998952	Medulloblastoma	0.991	Medulloblastoma, WNT-activated	0.988	MB WNT	0.988
BS_R97F3N7W	206390560168_R03C01	Other CNS Embryonal Tumours	0.998972508	Atypical Teratoid Rhabdoid Tumour	0.980571249	Atypical Teratoid Rhabdoid Tumour, Tyrosinase Activated	0.979203092	ATRT_TYR	0.979203092	SMARC-altered tumors	0.987	Atypical teratoid/rhabdoid tumor	0.986	ATRT TYR	0.984
BS_NMY0K4JM	205624880180_R02C01	Ependymal Tumours	0.999980957	Posterior Fossa Ependymoma Group A	0.999978616	Posterior Fossa Ependymoma Group A1	0.9999747	EPN_PFA_1B	0.997989608	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.988	EPN PFA 1B	0.987
BS_W2MQ4QDR	209648840117_R07C01	Control Tissues	0.61679012	Control Tissue, Blood	0.616114834	Control Tissue, Blood	0.616114834	CTRL_BLOOD	0.616114834	Control tissues	0.985	Control tissue, white blood cells	0.62	CONTR BLOOD	0.62
BS_AJ8937QY	205982900173_R05C01	Medulloblastoma	0.995630092	Medulloblastoma Non-WNT/Non-SHH Activated	0.994990767	Medulloblastoma Group 3	0.965729005	MB_G34_IV	0.864848954	Medulloblastoma	0.99	Medulloblastoma, non-WNT/non-SHH, Group 3	0.988	MB G3 IV	0.988
BS_P8E867H8	206402350061_R04C01	Ependymal Tumours	0.232566153	Neuroblastoma	0.224791133	Neuroblastoma	0.224791133	NB_TMM_NEG	0.21842566	Hematopoietic tumors	0.247	Langerhans cell histiocytosis	0.176	LCH	0.176
BS_32YYB1WF	205657380065_R06C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.998770816	Pilocytic Astrocytoma	0.998596517	Supratentorial Midline Pilocytic Astrocytoma	0.997402494	PA_MID	0.997402494	Low-grade glial/glioneuronal tumors	0.99	Pilocytic astrocytoma	0.988	PA MID	0.987
BS_T7SSWRA0	205648310114_R08C01	Medulloblastoma	0.99989277	Medulloblastoma Non-WNT/Non-SHH Activated	0.999880188	Medulloblastoma Group 4	0.999867066	MB_G34_VIII	0.999784314	Medulloblastoma	0.991	Medulloblastoma, non-WNT/non-SHH, Group 4	0.989	MB G4 VIII	0.989
BS_K58KZCNC	207356840008_R07C01	Paediatric-Type Diffuse High-Grade Gliomas	0.999964718	Diffuse Midline Glioma, H3k27-Altered	0.999964219	Diffuse Midline Glioma, H3 K27-Mutant / EZHIP Overexpressing	0.999964055	DMG_K27	0.999964055	Diffuse midline glioma, H3 K27-altered	0.98	Diffuse midline glioma, H3 K27-altered	0.98	DMG K27	0.98
BS_BE9VKEJP	206390560108_R07C01	Paediatric-Type Diffuse High-Grade Gliomas	0.999975949	Diffuse Midline Glioma, H3k27-Altered	0.999975371	Diffuse Midline Glioma, H3 K27-Mutant / EZHIP Overexpressing	0.999975363	DMG_K27	0.999975363	Diffuse midline glioma, H3 K27-altered	0.987	Diffuse midline glioma, H3 K27-altered	0.987	DMG K27	0.987
BS_83XZJWG0	205676390174_R07C01	Paediatric-Type Diffuse High-Grade Gliomas	0.999927913	Paediatric-Type Diffuse High-Grade Gliomas	0.999924893	Diffuse Paediatric-Type High Grade Glioma, RTK2 Subtype	0.99958416	pedHGG_RTK2A	0.999584132	Pediatric-type high-grade gliomas	0.987	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	0.987	pedHGG RTK2A	0.986
BS_SX1P2BVF	206430120113_R05C01	Ependymal Tumours	0.999866834	Spinal Ependymoma	0.999687819	Spinal Ependymoma	0.999684596	EPN_SPINE	0.999684596	Ependymal tumors	0.989	Spinal ependymoma	0.985	EPN SPINE	0.985
BS_81KRVBJ1	206390560071_R07C01	Other CNS Embryonal Tumours	0.917442085	Atypical Teratoid Rhabdoid Tumour	0.914004781	Atypical Teratoid Rhabdoid Tumour, MYC Activated	0.901483802	ATRT_MYC	0.901483802	SMARC-altered tumors	0.224	Atypical teratoid/rhabdoid tumor	0.223	ATRT MYC	0.221
BS_KX1ARZSA	206390560038_R03C01	Medulloblastoma	0.999973605	Medulloblastoma Non-WNT/Non-SHH Activated	0.999970241	Medulloblastoma Group 3	0.999870116	MB_G34_IV	0.995336684	Medulloblastoma	0.991	Medulloblastoma, non-WNT/non-SHH, Group 3	0.989	MB G3 IV	0.988
BS_YTXEHFFW	205657390049_R01C01	Other CNS Embryonal Tumours	0.99959404	Embryonal Tumour With Multilayered Rosettes	0.999573908	Embryonal Tumour With Multilayered Rosettes, C19MC Altered	0.999564453	ETMR_C19MC	0.999564453	Neuroblastic embryonal tumors	0.985	Embryonal tumor with multilayered rosettes	0.984	ETMR C19MC	0.984
BS_ZBWDSNVQ	205657380065_R05C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999916391	Pilocytic Astrocytoma	0.999875886	Supratentorial Midline Pilocytic Astrocytoma	0.99861433	PA_MID	0.99861433	Low-grade glial/glioneuronal tumors	0.99	Pilocytic astrocytoma	0.988	PA MID	0.987
BS_91MVJWDG	207356840128_R02C01	Other CNS Embryonal Tumours	0.999988511	Atypical Teratoid Rhabdoid Tumour	0.992791126	Atypical Teratoid Rhabdoid Tumour, Tyrosinase Activated	0.992789373	ATRT_TYR	0.992789373	SMARC-altered tumors	0.987	Atypical teratoid/rhabdoid tumor	0.987	ATRT TYR	0.985
