Bioassay_ID	sentrix_id	dkfz_v12.8_superfamily	dkfz_v12.8_superfamily_maxscore	dkfz_v12.8_family	dkfz_v12.8_family_maxscore	dkfz_v12.8_class	dkfz_v12.8_class_maxscore	dkfz_v12.8_subclass	dkfz_v12.8_subclass_maxscore	NIH_v3.1_superfamily	NIH_v3.1_superfamily_meanscore	NIH_v3.1_class	NIH_v3.1_class_score	NIH_v3.1_subclass	NIH_v3.1_subclass_meanscore
BS_X3Q9E03X	205657380173_R08C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.832957999	Low-Grade Ganglioglial/Neuroepithelial Tumour	0.427684988	Supratentorial Pilocytic Astrocytoma	0.424654685	PA_CORT	0.424654685	Low-grade glial/glioneuronal tumors	0.99	Pilocytic astrocytoma	0.988	PA ST	0.987
BS_Y8P23T9M	205589730030_R02C01	Diffuse Glioma, Mapk Altered, Cell-Cycle Activated	0.886640053	Pleomorphic Xanthoastrocytoma(-Like)	0.886405683	Pleomorphic Xanthoastrocytoma(-Like)	0.886405683	PXA	0.886405683	Intermediate-grade IDH-wildtype gliomas	0.988	Pleomorphic xanthoastrocytoma	0.986	PXA	0.986
BS_336M1VHM	206390560121_R08C01	Medulloblastoma	0.986763558	Medulloblastoma, SHH-Activated	0.98398865	Medulloblastoma, SHH-Activated, Subtype 3	0.879811737	MB_SHH_3	0.879811737	Medulloblastoma	0.989	Medulloblastoma, SHH-activated	0.986	MB SHH 3	0.986
BS_3F6TXP1Y	206430120138_R08C01	Cranial And Paraspinal Nerve Tumours	0.19419562	Cranial And Paraspinal Nerve Tumours	0.165119482	Plexiform Neurofibroma	0.116182771	NFIB_PLEX	0.116182771	Mesenchymal tumors	0.972	Poorly differentiated chordoma	0.191	CHORDM PD	0.191
BS_PSR9HVZT	205122170009_R07C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999997022	Pilocytic Astrocytoma	0.999988483	Infratentorial Pilocytic Astrocytoma	0.999985727	PA_INF	0.999985727	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.988	PA PF TYP	0.988
BS_S3CZSQSA	205122170033_R03C01	Other CNS Embryonal Tumours	0.180313294	Embryonal Tumour With Multilayered Rosettes	0.144955244	Embryonal Tumour With Multilayered Rosettes-Like	0.138650136	ETMR_Atyp	0.138650136	Neuroblastic embryonal tumors	0.458	Embryonal tumor with multilayered rosettes	0.353	ETMR non-C19MC	0.325
BS_97QEPM0H	205122170009_R01C01	Neuroepithelial Tumour With PATZ1 Fusion	0.985290011	Neuroepithelial Tumour With PATZ1 Fusion	0.985290011	Neuroepithelial Tumour With PATZ1 Fusion	0.985290011	NET_PATZ1	0.985290011	Neuroblastic embryonal tumors	0.291	CNS tumor with PATZ1 fusion	0.174	CNS PATZ1 FUS	0.174
BS_Z16K6GGT	207356850179_R06C01	Other CNS Embryonal Tumours	0.996289534	Atypical Teratoid Rhabdoid Tumour	0.972878191	Atypical Teratoid Rhabdoid Tumour, Tyrosinase Activated	0.964023096	ATRT_TYR	0.964023096	SMARC-altered tumors	0.985	Atypical teratoid/rhabdoid tumor	0.985	ATRT TYR	0.982
BS_JNS1K6PH	205624900145_R02C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.807800108	Low-Grade Ganglioglial/Neuroepithelial Tumour	0.752223605	Supratentorial Pilocytic Astrocytoma	0.638684693	PA_CORT	0.638684693	Low-grade glial/glioneuronal tumors	0.987	Ganglioglioma	0.557	GG	0.557
BS_S6VZ053E	205624860106_R08C01	Control Tissues	0.603962375	Control Tissue, Reactive Tumour Microenvironment	0.601307722	Control Tissue, Reactive Tumour Microenvironment	0.601307722	CTRL_REACTIVE	0.601307722	Control tissues	0.531	Control tissue, reactive tumor microenvironment	0.514	CONTR REACT	0.514
