cancer_group	efo_code_prefill	mondo_code_prefill	ncit_code_prefill	efo_code_auto	mondo_code_auto	ncit_code_auto	efo_OntoDesc	mondo_OntoDesc	ncit_OntoDesc	efo_desc_match	mondo_desc_match	ncit_desc_match	efo_code_match	mondo_code_match	ncit_code_match
Acute Lymphoblastic Leukemia	EFO_0000220	MONDO_0004967	NCIT_C3167	EFO_0000220	MONDO_0004967	NCIT_C3167	acute lymphoblastic leukemia	acute lymphoblastic leukemia	Acute Lymphoblastic Leukemia	True	True	True	True	True	True
Acute Myeloid Leukemia	EFO_0000222	MONDO_0018874	NCIT_C3171	EFO_0000222	MONDO_0018874	NCIT_C3171	acute myeloid leukemia	acute myeloid leukemia	Acute Myeloid Leukemia	True	True	True	True	True	True
Adamantinomatous Craniopharyngioma	EFO_1000069	MONDO_0002787	NCIT_C4726	EFO_1000069	MONDO_0002787	NCIT_C4726	Adamantinomatous Craniopharyngioma	adamantinous craniopharyngioma	Adamantinomatous Craniopharyngioma	True	False	True	True	True	True
Adenocarcinoma	EFO_0000228	MONDO_0004970	NCIT_C2852	EFO_0000228	MONDO_0004970	NCIT_C2852	adenocarcinoma	adenocarcinoma	Adenocarcinoma	True	True	True	True	True	True
Adrenocortical Carcinoma	EFO_1000796	MONDO_0006639	NCIT_C9325	EFO_1000796	MONDO_0006639	NCIT_C9325	adrenal cortex carcinoma	adrenal cortex carcinoma	Adrenal Cortical Carcinoma	False	False	False	True	True	True
Alveolar soft part sarcoma	NA	NA	NA	EFO_0007143	MONDO_0011655	NCIT_C3750	alveolar soft part sarcoma	alveolar soft part sarcoma	Alveolar Soft Part Sarcoma	True	True	True	False	False	False
Angiosarcoma	EFO_0003968	MONDO_0016982	NCIT_C3088	EFO_0003968	MONDO_0016982	NCIT_C3088	angiosarcoma	angiosarcoma	Angiosarcoma	True	True	True	True	True	True
Astroblastoma	MONDO_0016707	MONDO_0016707	NCIT_C4324	MONDO_0016707	MONDO_0016707	NCIT_C4324	astroblastoma	astroblastoma	Astroblastoma, MN1-Altered	True	True	False	True	True	True
Astrocytoma	EFO_0000272	MONDO_0019781	NCIT_C6958	EFO_0000272	MONDO_0019781	NCIT_C60781	astrocytoma	astrocytoma (excluding glioblastoma)	Astrocytoma	True	False	True	True	True	False
Atypical Teratoid Rhabdoid Tumor	EFO_1002008	MONDO_0020560	NCIT_C6906	EFO_1002008	MONDO_0020560	NCIT_C6906	atypical teratoid rhabdoid tumor	atypical teratoid rhabdoid tumor	Atypical Teratoid/Rhabdoid Tumor	True	True	False	True	True	True
B Acute Lymphoblastic Leukemia/Lymphoma	EFO_0000094	MONDO_0004967	NCIT_C8644	EFO_0000094	MONDO_0850156	NCIT_C8936	B-cell acute lymphoblastic leukemia	B-lymphoblastic leukemia/lymphoma MLL rearranged	B Lymphoblastic Leukemia/Lymphoma	False	False	False	True	False	False
Bladder Urothelial Carcinoma	EFO_0006544	MONDO_0005611	NCIT_C39851	EFO_0006544	MONDO_0005611	NCIT_C39851	bladder transitional cell carcinoma	bladder transitional cell carcinoma	Bladder Urothelial Carcinoma	False	False	True	True	True	True
Breast Invasive Carcinoma	EFO_1000307	MONDO_0006256	NCIT_C9245	EFO_1000307	MONDO_0006256	NCIT_C9245	Invasive Breast Carcinoma	invasive breast carcinoma	Invasive Breast Carcinoma	False	False	False	True	True	True
Burkitt Leukemia/Lymphoma	EFO_0000309	MONDO_0007243	NCIT_C2912	EFO_1000182	MONDO_0007243	NCIT_C7400	Colon Burkitt Lymphoma	Burkitt lymphoma	Burkitt Leukemia	False	False	False	False	True	False
CNS Burkitt's lymphoma	EFO_0000309	MONDO_0007243	NCIT_C2912	EFO_0000309	MONDO_0007243	NCIT_C7187	Burkitts lymphoma	Burkitt lymphoma	Non-Burkitt's Lymphoma	False	False	False	True	True	False
CNS Embryonal tumor	EFO_0005784	MONDO_0018843	NCIT_C5398	EFO_0020985	MONDO_0958119	NCIT_C6990	central nervous system embryonal neoplasm	embryonal tumor with multilayered rosettes	Central Nervous System Embryonal Tumor	False	False	False	False	False	False
CNS Melanoma	EFO_0002617	MONDO_0005191	NCIT_C133504	EFO_0000756	MONDO_0016747	NCIT_C116833	melanoma	primary melanoma of the central nervous system	CNS 1	False	False	False	False	False	False
CNS neuroblastoma	EFO_0000621	MONDO_0006130	NCIT_C4826	EFO_0000621	MONDO_0859597	NCIT_C3270	neuroblastoma	cns neuroblastoma with FOXR2 activation	Neuroblastoma	False	False	False	True	False	False
Central neurocytoma	EFO_1000856	MONDO_0019134	NCIT_C3791	EFO_1000856	MONDO_0019134	NCIT_C3791	central neurocytoma	central neurocytoma	Central Neurocytoma	True	True	True	True	True	True
